name,ingredients,diet,prep_time,cook_time,flavor_profile,course,Price,No Of Peoples Can Eat,Images
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,100,2,https://www.cookwithkushi.com/wp-content/uploads/2021/10/best_indian_sweet_balushahi.jpg
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,100,2,https://static.toiimg.com/thumb/58417488.cms?imgsize=97128&width=800&height=800
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,150,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkvx5bPaL54zkEOIChtzrO5K3dl30J0WIIyzaIeargMQ&s
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,200,2,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Dhara/Rajasthani_Ghevar_400.jpg
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,350,2,https://static01.nyt.com/images/2023/10/19/multimedia/ND-Gulab-Jamun-tqgl/ND-Gulab-Jamun-tqgl-square640.jpg
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,200,2,https://giftspak.com/wp-content/uploads/2022/05/Amrati.jpg
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,200,2,https://www.dwarakaorganic.com/wp-content/uploads/2020/06/Jalebi.jpg
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,150,2,https://static.toiimg.com/thumb/55048826.cms?imgsize=392932&width=800&height=800
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,190,2,https://static.toiimg.com/thumb/70656402.cms?imgsize=216950&width=800&height=800
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,210,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlfGaL3a03E0EAujWA9EvSGXZVUTPrqNq34ektR8OTgw&s
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,350,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtqoszToqFYIXwLCUdcku5Y21Bnto9QXDhk7IInQsCtQ&s
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,70,2,https://thefoodhog.com/wp-content/uploads/2022/10/lassi-ALIA-MUKHERJEE-CC-by-SA-4.0-735x454.jpeg
